# ,Player,Team,G,A,PTS,PIM
91,MATTHEW BRASSARD,RED WINGS,5,7,12,0
34,ZACK SAMMUT,AVALANCHE,5,6,11,0
17,ZACK STEC,AVALANCHE,3,7,10,4
15,BRENDON LANDRY,AVALANCHE,4,4,8,0
63,ALEX KLIMSIAK,WHALERS,2,6,8,0
34,JOSH FELIX,LEAFS,2,5,7,2
47,TYLER WALKER,LEAFS,5,2,7,0
9,TYLER COLLINS,VEGAS,1,5,6,0
91,KEEGAN MURPHY,VEGAS,6,0,6,2
22,VICTOR GEBORSKI,WHALERS,5,1,6,2
13,JACKSON LEE,AVALANCHE,3,2,5,0
9,JARRET WOO SAM,BLACKHAWKS,3,2,5,0
91,DEVIN SHANNON,LEAFS,2,3,5,4
17,JOSHUA NEIL,RED WINGS,5,0,5,0
47,VICTOR PATORA,VEGAS,4,1,5,4
8,TRISTAN NISBLE,WHALERS,5,0,5,0
9,ANTHONY IZZI,LEAFS,2,2,4,0
8,SHAWN PRITCHETT,LEAFS,0,4,4,0
63,JOSH ANDERSON,LEAFS,2,2,4,6
57,TREVOR GIBBONS,RED WINGS,3,1,4,0
9,JUSTIN WILLIAMS,RED WINGS,1,3,4,0
22,PAUL COLLINS,VEGAS,0,4,4,2
4,KEVIN HUGHES,VEGAS,0,4,4,2
91,ANDREW MACKAY,WHALERS,0,4,4,0
9,MARK BALTAZAR,AVALANCHE,0,3,3,2
4,DAWSON FASCIA,AVALANCHE,1,2,3,2
44,MARK GEDNEY,AVALANCHE,3,0,3,2
6,JORDAN CRONKWRIGHT,LEAFS,1,2,3,0
13,STEVE NEIL,RED WINGS,2,1,3,2
15,LIAM MONAHAN,RED WINGS,0,3,3,10
22,ALEX CORNES,RED WINGS,1,2,3,0
8,KYLE KOKOT,RED WINGS,1,2,3,0
12,NUNZIO LEROSE,RED WINGS,2,1,3,2
6,AARON CALHOUN,VEGAS,2,1,3,5
8,JACOB ARSENAULT,VEGAS,2,1,3,2
63,CRAIG MCCANN,WHALERS,1,2,3,0
57,CHRIS SUTTON,WHALERS,0,3,3,0
37,RYAN LANO,AVALANCHE,0,2,2,0
13,DARREN DAVIS,BLACKHAWKS,1,1,2,2
17,MIKE BARKER,BLACKHAWKS,1,1,2,4
15,BRIAN MATKOWSKY,BLACKHAWKS,0,2,2,0
91,TREVOR BREIKREUZ,BLACKHAWKS,1,1,2,0
17,KYLE MCGREGOR,LEAFS,0,2,2,4
15,MIKE O'DWYER,LEAFS,2,0,2,2
6,TYLER WATSON,RED WINGS,0,2,2,0
37,MIKE SALIJ,RED WINGS,2,0,2,0
55,MARK BLANCHARD,VEGAS,1,1,2,2
15,DAN YOUNG,WHALERS,2,0,2,0
13,ADIEN MURPHY,WHALERS,1,1,2,4
47,JARVIS MASON,WHALERS,1,1,2,4
17,SHANE NISBLE,WHALERS,0,2,2,6
9,CRAIG THOMPSON,WHALERS,2,0,2,0
22,JUSTIN COLYER,AVALANCHE,0,1,1,0
6,CONNER PARKES,AVALANCHE,1,0,1,2
63,JAKE COMPANION,BLACKHAWKS,1,0,1,0
6,MICHAEL SORENSON,BLACKHAWKS,0,1,1,0
55,COLIN PARKES,BLACKHAWKS,1,0,1,2
37,BRUCE FROUDE,BLACKHAWKS,0,1,1,6
37,WILLIAM FELIX,LEAFS,1,0,1,4
29,BRIAN NEIL,LEAFS,0,1,1,0
4,PETER FROUDE,RED WINGS,1,0,1,12
34,JEFF HALES,RED WINGS,0,1,1,0
44,JASON ROBERSON,RED WINGS,0,1,1,0
37,DANNY RYAN,VEGAS,0,1,1,0
15,MATT ANDERSON,VEGAS,0,1,1,0
44,SEAN GEDNEY,VEGAS,0,1,1,0
57,KEVIN THOMPSON,VEGAS,0,1,1,4
13,RAY BUCAN,VEGAS,1,0,1,2
63,NORM GOTTWALD,VEGAS,0,1,1,2
37,JOHNATHAN YARKONY,WHALERS,0,1,1,2
55,TOM ARNOTT,AVALANCHE,0,0,0,0
57,GENE STEC,AVALANCHE,0,0,0,0
8,FRANK FASCIA,AVALANCHE,0,0,0,0
29,BO LEE,AVALANCHE,0,0,0,0
91,IAIN FARQUHARSON,AVALANCHE,0,0,0,0
12,ANTHONY DAVIS,BLACKHAWKS,0,0,0,2
44,CHAD SPRINGER,BLACKHAWKS,0,0,0,0
34,BRANDON BOUDREAU,BLACKHAWKS,0,0,0,0
4,JONATHON SUTTON,BLACKHAWKS,0,0,0,0
57,TERRY BRAKE,BLACKHAWKS,0,0,0,0
29,JOSH GABRIELLE,BLACKHAWKS,0,0,0,0
13,CHRIS LEE,LEAFS,0,0,0,0
4,ADAM GRAY,LEAFS,0,0,0,0
22,DAVID MANCUSO,LEAFS,0,0,0,4
12,BRIAN FELIX,LEAFS,0,0,0,2
29,MIKE WEISS,RED WINGS,0,0,0,0
29,CHRIS GEDNEY,VEGAS,0,0,0,0
55,EUGENE GIBSON,WHALERS,0,0,0,0
4,TODD ELSON,WHALERS,0,0,0,2
